//X Y Z R G B PointSourceId ScanDirectionFlag NumberOfReturns ReturnNumber GpsTime Intensity Classification Nx Ny Nz
15610.00000000 9690.00000000 190.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.349723 0.322472 0.879606
15580.00000000 9650.00000000 180.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.539839 -0.009519 0.841714
15540.00000000 9680.00000000 210.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.281283 -0.179747 0.942640
15550.00000000 9670.00000000 200.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.587089 -0.135253 0.798144
15570.00000000 9690.00000000 170.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.542454 0.321632 0.776077
15560.00000000 9680.00000000 170.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.139140 0.392122 0.909330
15560.00000000 9670.00000000 180.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.404078 -0.130938 0.905304
15570.00000000 9670.00000000 180.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.494590 -0.119682 0.860847
15550.00000000 9670.00000000 150.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.286618 0.546316 0.787012
15570.00000000 9690.00000000 170.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.542454 0.321632 0.776077
15570.00000000 9680.00000000 170.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.409837 0.403459 0.818080
15500.00000000 9660.00000000 200.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.330860 0.232614 0.914561
15490.00000000 9670.00000000 190.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.500795 0.170894 0.848528
15570.00000000 9650.00000000 190.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.324307 0.294690 0.898879
15540.00000000 9630.00000000 150.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.306169 -0.068468 0.949512
15540.00000000 9630.00000000 150.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.306169 -0.068468 0.949512
15500.00000000 9620.00000000 230.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.359177 -0.180298 0.915688
15520.00000000 9650.00000000 200.00000000 133 151 113 0.000000 0.000000 0.000000 0.000000 -60.708740 0.000000 71.000000 0.430763 0.379898 0.818609
