date;placette;element;type;azimut;distance;stade_saproxylation;anciennete;essence;epiphytes;fourches;notes;longueur_tot;circ_ml;volume_1;volume_2;volume_3;volume_4;volume_5;volume_6;volume_tot
13/06/2023;BM03;15;billon;270;15,56;3;> 3 ans;sorbier;;;;8,66;41,6;0,131639989;;;;;;0,131639989
13/06/2023;BM03;16;billon;284;9,71;3;> 3 ans;sorbier;;;;1,56;26,2;0,007854615;;;;;;0,007854615
13/06/2023;BM03;17;billon;280;10,61;3;> 3 ans;sorbier;;;;3,4;22,8;0,013949437;;;;;;0,013949437
13/06/2023;BM03;18;billon;270;12,44;3;> 3 ans;sorbier;;;;2,97;26,5;0,016643241;;;;;;0,016643241
13/06/2023;BM03;19;billon;290;13,07;3;> 3 ans;sorbier;;;;3;22;0,011460854;;;;;;0,011460854
13/06/2023;BM03;20;billon;352;15,3;3;> 3 ans;sorbier;;1;;5,38;42,4;0,083055711;0,002137733;0,008340913;;;;0,093534357
14/06/2023;BM04;1;billon;20;15,82;3;> 3 ans;chêne;un peu de mousse;;;1,5;24,5;0,00738845;;;;;;0,00738845
14/06/2023;BM04;2;billon;20;17,9;4;> 3 ans;chêne;un peu de mousse;;;1,5;30,4;0,009169274;;;;;;0,009169274
14/06/2023;BM04;3;billon;29;15,64;3;> 3 ans;chêne;un peu de mousse;;;5,5;46,35;0,076717656;;;;;;0,076717656
14/06/2023;BM04;4;billon;31;19,27;4;> 3 ans;sorbier;un peu de mousse;1;en majorité dans la placette;4,6;43,5;0,070597523;0,006100794;;;;;0,076698317
14/06/2023;BM04;5;billon;39;13,87;4;> 3 ans;sorbier;;;;2,68;24,35;0,014654921;;;;;;0,014654921
14/06/2023;BM04;6;billon;50;13,87;4;> 3 ans;;;1;;0,22;44;0,003412525;0,007203008;0,005501899;;;;0,016117432
14/06/2023;BM04;7;billon;40;3,64;3;> 3 ans;;couvert de mousse;;à moitié sous la litière;5;29,05;0,028586827;;;;;;0,028586827
14/06/2023;BM04;8;billon;62;14,85;2;≤ 3 ans;;;;;1,18;22,7;0,005088858;;;;;;0,005088858
14/06/2023;BM04;9;billon;111;5,75;3;> 3 ans;;mousse;;branches, petites fourches;3,3;33,95;0,025837102;;;;;;0,025837102
14/06/2023;BM04;10;billon;92;5,54;3;> 3 ans;;couvert de mousse;;;2,46;24,05;0,010894472;;;;;;0,010894472
14/06/2023;BM04;11;billon;118;6,02;3;> 3 ans;;un peu de mousse;1;;0,9;62,05;0,028247766;0,015602861;0,022347423;;;;0,06619805
14/06/2023;BM04;12;billon;172;5,89;3;> 3 ans;;bryophytes en partie;;;6;56,8;0,171309089;0,01095238;0,001851012;0,010798829;0,010951346;;0,205862656
14/06/2023;BM04;13;billon;108;7,56;3;> 3 ans;;bryophytes;;;1,87;32,2;0,014296011;;;;;;0,014296011
14/06/2023;BM04;14;billon;111;9,22;4;> 3 ans;;bryophytes;;;2,81;24;0,013345427;;;;;;0,013345427
