reference;total_length;mid_circ;volume
BM06_9;1,33;32,2;0,009544039
BM07_1;3,7;40,1;0,059513683
BM07_10;2,1;50,6;0,047531406
BM07_11;2,08;43,25;0,033001505
BM07_12;2,2;41,35;0,033596018
BM07_13;2,3;41,05;0,027646956
BM07_14;2;26,3;0,011261565
BM07_15;1,75;53,75;0,041935338
BM07_16;2,95;23,75;0,013620266
BM07_17;3,45;28,15;0,018239625
BM07_18_1;8;130;1,253517595
BM07_18_2;4,3;89,55;0,348220559
BM07_18_3;3;56,9;0,077687414
BM07_18_4;2;42;0,020069226
BM07_18_5;3,7;52;0,087959101
BM07_18_6;2,75;37;0,030310562
BM07_18_7;3;29;0,022979321
BM07_18_8;2;62,8;0,08508166
BM07_19;3,33;30,6;0,023755706
BM07_2;1;22,5;0,003382096
BM07_3;2,5;34,95;0,022431019
BM07_4;1,25;23,47;0,005432372
BM07_5;1,5;30,4;0,01143259
BM07_6;1,3;25,5;0,005669327
BM07_7;2;30,8;0,012881166
BM07_8_1;1,7;42,65;0,023544714
BM07_8_2;2;26;0,012355888
BM07_8_3;1;25,5;0,006004969
BM07_9;2;26,8;0,012379894
BM08_1;3;24,9;0,018473194
BM08_10;2,45;29,9;0,014580172
BM08_11_1;6;61,3;0,224298971
BM08_11_2;3;23,7;0,014062957
BM08_11_3;3,4;26,95;0,022571264
BM08_12;3;31,4;0,025255436
BM08_13;3;24,8;0,018243944
BM08_14;1;41,2;0,014844925
BM08_15;3,15;25,25;0,019470643
BM08_16;10;59,7;0,274575514
BM08_17;10,38;47,9;0,251779566
BM08_18;4;35,2;0,031663186
BM08_19;1,35;42,95;0,021194536
BM08_2;3;31,4;0,017948579
BM08_20;3,5;25,45;0,021834122
BM08_21;1;22,8;0,003550959
BM08_22;2,55;51,05;0,052256699
BM08_23_1;1;53,1;0,021505997
BM08_23_2;1,56;34,5;0,017415887
BM08_23_3;1,05;27,5;0,004984804
BM08_23_4;1;21,7;0,004692498
BM08_23_5;1,5;23,1;0,009853694
BM08_24;1;22,5;0,004060653
BM08_25;2,95;21,9;0,011834748
BM08_26;10;69,1;0,34738898
BM08_27;1,18;27,6;0,007585199
BM08_28;1,27;22,75;0,005574765
BM08_3;1,5;21,2;0,005388867
BM08_30;1,5;22,8;0,006272734
BM08_31;1;23,7;0,004127816
BM08_32;5,45;41,1;0,088725256
BM08_33;1;21,2;0,003880052
BM08_34;2;20,9;0,006822813
BM08_35;2;20,6;0,00752523
BM08_36;4,4;22,35;0,019064688
BM08_37;1,5;21;0,005093754
BM08_38;2;27,4;0,009670997
BM08_39;1;30,2;0,008741532
BM08_4;3;44,7;0,044538211
BM08_41;1;25,7;0,005742125
BM08_42;10;41;0,132075472
BM08_43;1,3;29,9;0,01120932
BM08_44;2;24,2;0,010677851
BM08_5;1,92;57;0,046580736
BM08_6;2,18;47,15;0,035315025
BM08_7;1,8;36,6;0,017518943
BM08_8;1,44;27,45;0,010164705
BM08_9;1;49;0,018482133
BM09_1;1.39;22.5;0.00555640755866943
BM09_10;1.5;22.55;0.00519460513592868
BM09_2;2;23.3;0.00761426426157861
BM09_3;18;61.9;0.539117462092997
BM09_4;1.185;26.05;0.00780272082335579
BM09_5;4;28.3;0.0265841806611163
BM09_6;2;27.3;0.00946223883164245
BM09_7;3.45;32.5;0.0267548464854673
BM09_8;1.5;22;0.00485986250187065
BM09_9;1.13;25.2;0.0048719070827056
