plot,cluster,azimuth,distance
BM01,153,124.15411067726454,18.574867349732273
BM01,154,119.69631751379254,18.674110651576843
BM01,155,118.32964343546064,17.341815160587842
BM01,156,121.92357584614855,16.68285404630719
BM01,157,124.34264528196857,16.55838430131685
BM01,158,122.74693877989112,17.275764734674244
BM01,159,55.36659211971627,7.913977224469421
BM01,160,55.18268993256128,10.685575521678217
BM01,161,94.72654846584669,17.441499230704302
BM01,162,94.08708934860768,17.971913979776698
BM01,163,106.50127659267868,20.476752289093394
BM01,164,110.04392357147317,17.596704299420026
BM01,165,82.10588209769692,16.274947975229956
BM01,166,84.0614944524536,17.33644346918222
BM01,167,84.79971527393525,20.004184004193466
BM01,168,86.99651521980913,18.435133649851444
BM01,169,113.44008676270415,19.648240095050497
BM01,170,90.01129264217117,18.007005937885573
BM01,171,108.0782731340737,16.67404585003933
BM01,172,64.67227208921261,11.60579583868788
BM01,173,102.19413132718232,15.837658758419137
BM01,174,100.70608864136148,21.425153127818426
BM01,175,94.90848313153397,14.352229736056723
BM01,176,69.87883995858981,11.642054075992894
BM01,177,39.276168868708176,20.234112685158497
BM01,178,40.6346347757691,21.781461828180696
BM01,179,114.68337335340055,16.08596064401331
BM01,180,120.15019040125689,19.64500949681028
BM01,181,123.87909062948222,15.627544621749356
BM01,182,114.55679872166247,20.666031604089778
BM01,183,106.60884453528516,19.265832551637327
BM01,184,275.1356075540084,19.92712788825093
BM01,185,298.5389475458846,13.80687235396826
BM01,186,295.9975913311539,12.688191295241086
BM01,187,304.2327976319744,13.085875610387705
BM01,188,244.43704739267292,15.906514375677057
BM01,189,252.75039184864102,15.38551225795044
BM01,190,260.7067992059369,15.786805348744629
BM01,191,261.7294831510119,16.187204959110936
BM01,192,220.11859199729048,7.91858642696931
BM01,193,286.6665019899617,18.680271822644006
BM01,194,238.71904956495098,15.32804858866832
BM01,195,231.95549064670055,17.953718472709642
BM01,196,232.28217853744314,16.437856835490898
BM01,197,266.4228590667439,16.98736700828121
BM01,198,259.933940514794,15.076775012721269
BM01,199,251.5842793190067,19.063955589191643
BM01,200,239.98872045207696,17.427985562558607
BM01,201,278.5053612075929,21.365951650834685
BM01,202,286.4545417457302,16.67507671941801
BM01,203,271.2234793229453,21.458493803521723
BM01,204,227.1996173899021,16.01380161767515
BM01,205,284.86053956496227,21.475694127813952
BM01,206,287.3097698146052,19.766634253734253
BM01,207,220.09987478363553,16.36986111032948
BM01,208,233.70887766713844,18.64151271804415
BM01,209,242.61743387962412,19.914665648959765
BM01,210,226.72066848754673,20.946055980622038
BM01,211,233.39369513793918,19.304383341308057
BM01,212,231.92878443866618,18.49976554036415
BM01,213,228.657515923995,19.46372876180915
