"reference";"total_length";"total_volume";"mean_circ";"num_orders";"length_ord01";"volume_ord01";"circ_ord01";"inv_circ_ord01"
BM01_cl_dw_cluster_243_QSM;27.4086608886719;0.0131322317123413;7.29069722859019;6;9.33507609367371;0.00559293949604034;10.0406807142507;NA
BM01_cl_dw_cluster_244_QSM;16.4119415283203;0.00785152339935303;7.30389112534911;5;8.79045176506042;0.00459000301361084;8.3375576626933;NA
BM01_cl_dw_cluster_245_QSM;2.4448356628418;0.0059697437286377;14.2595726283985;1;NA;NA;14.2595726283985;30.7482652366677
BM01_cl_dw_cluster_246_QSM;5.11937808990479;0.00957872009277344;13.4776699484111;3;4.30369520187378;0.00721584558486938;13.5553300792858;25.0597059447685
BM01_cl_dw_cluster_247_QSM;17.2336902618408;0.0142533836364746;9.81481469196501;4;9.97750210762024;0.00843556809425354;10.1081739010721;NA
BM01_cl_dw_cluster_248_QSM;16.9089412689209;0.00507949638366699;5.984647824347;7;5.763223528862;0.00215215170383453;7.35032227723814;NA
BM01_cl_dw_cluster_249_QSM;12.2300262451172;0.0034003803730011;5.53498495008785;5;7.08286809921265;0.00197381258010864;6.02147872570788;NA
BM01_cl_dw_cluster_25_QSM;16.6387996673584;0.00715443515777588;7.02583182750944;5;12.1598076820374;0.00499490475654602;8.21372015826945;NA
BM01_cl_dw_cluster_250_QSM;9.87223434448242;0.00295805978775024;5.84446275487244;6;3.50662016868591;0.00125616776943207;6.72531238690798;NA
BM01_cl_dw_cluster_251_QSM;7.86484432220459;0.025996467590332;16.2030373731359;3;6.18161964416504;0.0119101729393005;20.7945180409959;36.5714937449376
BM01_cl_dw_cluster_252_QSM;2.97293281555176;0.00419723987579346;12.3022527728682;4;2.20625972747803;0.00307926177978516;12.5221905732146;NA
BM01_cl_dw_cluster_253_QSM;7.66897010803223;0.0102026882171631;12.6553369793528;3;6.39490461349487;0.00843063974380493;12.1012991607518;NA
BM01_cl_dw_cluster_254_QSM;5.07035493850708;0.00178601825237274;6.26507666936214;4;3.60075771808624;0.00121423774957657;6.61929011876991;NA
BM01_cl_dw_cluster_255_QSM;6.03796482086182;0.00968819332122803;13.2040554337596;3;4.70406770706177;0.00637369561195374;14.3715577004929;23.8096143580076
BM01_cl_dw_cluster_256_QSM;2.17907977104187;0.00287140607833862;12.7647931540144;2;1.68357199430466;0.00143724399805069;12.8370878381945;24.95628699924
BM01_cl_dw_cluster_257_QSM;8.19160079956055;0.00275609970092773;6.17377169166827;5;5.04002702236176;0.00166460376977921;7.11907731788305;NA
BM01_cl_dw_cluster_258_QSM;6.04308366775513;0.00358264636993408;8.19164520053575;4;4.01038646697998;0.00222237026691437;8.81672111696687;NA
