"plot";"element";"reference_volume";"detectable_volume";"detected_volume"
"BM09";8;0,004859863;0,00285356009926667;0
"BM09";9;0,004871907;0,0104232252738833;0
"BM10";2;0,01029202;0,0127591843769833;0,0127591843769833
"BM10";3;0,011376926;0,0330073197057333;0
"BM10";4;0,005501456;0,00273236141963333;0
"BM10";5;0,003725976;0,00273236141963333;0
"BM10";6;0,00586722;0,00280201559416667;0
"BM10";7;0,005520519;0,00190001466526667;0,00190001466526667
"BM10";8;0,004979215;0,00208300468205;0
"BM10";9;0,008221059;0,00428855832125;0,00176573521523334
"BM10";10;0,008123374;0,00357308943153334;0
"BM10";13;0,009195847;0,0018475426261;0,0018475426261
"BM10";14;0,006322841;0,0260481791417333;0
"BM10";15;0,347466291;0,1531152461618;0,0272458971871333
"BM10";19;0,036439055;0,0265411783161167;0,0189515243919333
"BM10";20;0,009463849;0,0027992036653;0
"BM10";21;0,006341476;0,00425941380171666;0,00425941380171666
"BM10";22;0,015595646;0,0207865715157666;0,0207865715157666
"BM10";23;0,003932135;0,00474277109251667;0,00474277109251667
"BM10";24;0,008135815;0,00925718948198334;0,0042896700977
"BM11";1;0,00760307;0,02571791150495;0,02571791150495
"BM11";2;0,00946013;0,00705837399898331;0,00705837399898331
"BM11";3;0,004519561;0,0577523677329832;0
"BM11";4;0,01804199;0,0191172371776498;0,00882324381146666
"BM11";6;0,023933561;0,00692960405511663;0
"BM11";8;0,038840402;0,0113087436836167;0,0113087436836167
"BM11";11;0,068663204;0,23422950213635;0
"BM11";12;0,098756995;0,244120563393833;0,0597851117063333
"BM11";13;0,123283216;0,2322466173289;0
